speaker_id,birth place,city,native language,other language(s),age,sex,age of english onset,english learning method,english residence,length of english residence,language
476,"cartagena, spain",cartagena,spanish,german,28,male,11,academic,uk,0.75 years,spanish34
477,"unije, croatia",unije,croatian,italian german,81,female,16,academic,usa,66 years,croatian1
478,"sivas, turkey",sivas,turkish,none,37,male,17,academic,usa,11 years,turkish8
479,"mexico city, mexico",mexico city,spanish,italian,28,male,17,academic,usa,4.25 years,spanish35
480,"brooklyn, new york, usa",brooklyn,english,none,38,male,0,naturalistic,usa,38 years,english124
481,"tainan, taiwan",tainan,taiwanese,mandarin korean,27,male,15,naturalistic,usa,0.5 years,taiwanese5
482,"ozarow maz, poland",ozarow maz,polish,french german spanish,22,male,9,academic,,0 years,polish5
483,"gwangju, south korea",gwangju,korean,none,34,male,13,academic,3.5,0 years,korean10
484,"maseno, kenya",maseno,luo,swahili french,33,female,5,academic,"usa, uk, kenya",4 years,luo2
485,"st. george, queensland, australia",st. george,english,none,28,male,0,naturalistic,australia,28 years,english125
486,"tokyo, japan",tokyo,japanese,german latin,25,male,12,academic,,0 years,japanese8
487,"cincinnati, ohio, usa",cincinnati,english,spanish,34,female,0,naturalistic,usa,34 years,english126
488,"kalamare, botswana",kalamare,tswana,none,31,male,7,academic,"botswana, usa",10 years,tswana1
489,"new britain, connecticut, usa",new britain,english,none,39,male,0,naturalistic,usa,39 years,english127
490,"miami, florida, usa",miami,english,french,20,female,0,naturalistic,usa,20 years,english128
491,"beijing, china",beijing,mandarin,none,19,male,3,academic,south africa,3.75 years,mandarin10
492,"blackpool, lancashire, uk",blackpool,english,korean indonesian polish french,25,male,0,naturalistic,"uk, australia",25 years,english129
493,"eischoll, switzerland",eischoll,swiss german,french german,21,male,10,academic,"usa, uk",2 years,swiss german1
494,"hong kong, china",hong kong,cantonese,mandarin,31,male,4,academic,canada,16 years,cantonese7
495,"sao paulo, brazil",sao paulo,portuguese,spanish,40,female,7,academic,,0 years,portuguese11
496,"port elizabeth, south africa",port elizabeth,english,afrikaans,32,male,0,naturalistic,south africa,32 years,english130
497,"west palm beach, florida, usa",west palm beach,english,none,23,male,0,naturalistic,usa,23 years,english131
498,"hong kong, china",hong kong,cantonese,french,23,female,2,academic,canada,15 years,cantonese8
499,"montevideo, uruguay",montevideo,spanish,none,27,male,25,academic,,0 years,spanish36
500,"bordeaux, france",bordeaux,french,spanish german,31,male,10,academic,ireland,1 years,french10
501,"berlin, germany",berlin,german,french,20,male,11,academic,usa,1 years,german7
502,"hong kong, china",hong kong,cantonese,mandarin tagalog,22,male,7,academic,uk,5 years,cantonese9
503,"toronto, ontario, canada",toronto,english,none,18,female,0,naturalistic,canada,18 years,english132
504,"norwich, new york, usa",norwich,english,spanish,36,female,0,naturalistic,usa,36 years,english133
505,"xiamen, fujian, china",xiamen,cantonese,mandarin,25,female,3,academic,canada,0.5 years,cantonese10
506,"belfast, northern ireland, uk",belfast,english,french,22,female,0,naturalistic,uk,22 years,english134
507,"orange beach, alabama, usa",orange beach,english,none,22,male,0,naturalistic,usa,22 years,english135
508,"calgary, alberta, canada",calgary,english,none,25,male,0,naturalistic,canada,25 years,english136
509,"charleston, west virginia, usa",charleston,english,japanese,26,male,0,naturalistic,usa,26 years,english137
510,"palmer, alaska, usa",palmer,english,german,25,female,0,naturalistic,usa,25 years,english138
511,"providence, rhode island, usa",providence,english,none,20,male,0,naturalistic,usa,20 years,english139
512,"settat, morocco",settat,arabic,french,35,male,15,academic,,0 years,arabic17
513,"lisbon, portugal",lisbon,portuguese,none,36,male,12,academic,,0 years,portuguese12
514,"limoges, france",limoges,french,spanish,31,male,11,academic,usa,8 years,french11
515,"quezon city, philippines",quezon city,english,tagalog,43,male,0,naturalistic,"philippines,canada",43 years,english140
516,"york, uk",york,english,french german,19,male,0,naturalistic,uk,19 years,english141
517,"avon, new york, usa",avon,english,french,19,male,0,naturalistic,usa,19 years,english142
518,"minneapolis, minnesota, usa",minneapolis,english,french,42,male,0,naturalistic,"usa, uk",42 years,english143
519,"barneys river, nova scotia, canada",barneys river,english,spanish,24,male,0,naturalistic,canada,24 years,english144
520,"santa maria, rio grande do sul, brazil",santa maria,portuguese,spanish,18,male,9,academic,,0 years,portuguese13
521,"bury st. edmunds, uk",bury st. edmunds,english,none,18,male,0,naturalistic,uk,13 years,english145
522,"blytheville, arkansas, usa",blytheville,english,spanish,22,male,0,naturalistic,usa,22 years,english146
523,"merced, california, usa",merced,english,portuguese,40,female,0,naturalistic,usa,40 years,english147
524,"montreal, quebec, canada",montreal,french,spanish,19,female,9,academic,australia,0.2 years,french12
525,"sydney, australia",sydney,english,none,31,male,0,naturalistic,australia,31 years,english148
526,"lawrenceville, georgia, usa",lawrenceville,english,none,18,male,0,naturalistic,usa,18 years,english149
527,"brownsville, kentucky, usa",brownsville,english,spanish,31,male,0,naturalistic,usa,31 years,english150
528,"baltimore, maryland, usa",baltimore,english,spanish,18,male,0,naturalistic,usa,18 years,english151
529,"adelaide, australia",adelaide,english,none,18,male,0,naturalistic,australia,18 years,english152
530,"belgrade, serbia",belgrade,serbian,none,25,male,7,academic,usa,8 years,serbian3
531,"chennai, india",chennai,tamil,none,26,male,10,naturalistic,uk,3 years,tamil3
532,"istanbul, turkey",istanbul,turkish,none,25,male,11,academic,,0 years,turkish9
533,"brisbane, australia",brisbane,english,none,35,male,0,naturalistic,australia,35 years,english153
534,"glace bay, nova scotia, canada",glace bay,english,none,28,male,0,naturalistic,canada,28 years,english154
535,"oakland, california, usa",oakland,english,none,35,male,0,naturalistic,usa,35 years,english155
536,"dublin, ireland",dublin,english,mandarin french irish,33,male,0,naturalistic,ireland,33 years,english156
537,"alkmaar, netherlands",alkmaar,dutch,german esperanto,19,male,6,academic,,0 years,dutch3
538,"fort worth, texas, usa",fort worth,english,none,35,male,0,naturalistic,usa,35 years,english157
539,"kuwait city, kuwait",kuwait city,arabic,french,18,male,6,academic,,0 years,arabic18
540,"washington, district of columbia, usa",washington,english,spanish german,18,female,0,naturalistic,usa,18 years,english158
541,"ottawa, ontario, canada",ottawa,english,none,18,male,0,naturalistic,canada,18 years,english159
542,"redwood falls, minnesota, usa",redwood falls,english,none,21,female,0,naturalistic,usa,21 years,english160
543,"yokohama, japan",yokohama,japanese,none,24,male,13,academic,canada,4 years,japanese9
544,"hong kong, china",hong kong,cantonese,none,22,female,3,academic,,0 years,cantonese11
545,"bernburg, germany",bernburg,german,hungarian french turkish,25,male,10,academic,,0 years,german8
546,"wakefield, ohio, usa",wakefield,english,none,75,female,0,naturalistic,usa,75 years,english161
547,"fairview park, ohio, usa",fairview park,english,german dutch,41,male,0,naturalistic,usa,39 years,english163
548,"delaware, ohio, usa",delaware,english,none,41,female,0,naturalistic,usa,39 years,english162
549,"leeds, uk",leeds,english,none,38,male,0,naturalistic,uk,38 years,english164
550,"detroit, michigan, usa",detroit,english,french spanish german,43,female,0,naturalistic,usa,43 years,english165
551,"glenside, pennsylvania, usa",glenside,english,spanish,18,male,0,naturalistic,usa,18 years,english166
552,"lakeview, michigan, usa",lakeview,english,spanish,43,male,0,naturalistic,usa,43 years,english167
553,"naples, italy",naples,italian,none,24,male,8,academic,usa,0.1 years,italian7
554,"oceanside, california, usa",oceanside,english,german,40,male,0,naturalistic,usa,25 years,english168
555,"cleveland, mississippi, usa",cleveland,english,spanish esperanto,18,male,0,naturalistic,usa,18 years,english169
556,"belmont, mississippi, usa",belmont,english,none,50,female,0,naturalistic,usa,50 years,english170
557,"ruse, bulgaria",ruse,bulgarian,greek,27,male,11,naturalistic,,0 years,bulgarian6
558,"sao paulo, brazil",sao paulo,portuguese,japanese,25,male,8,academic,,0 years,portuguese14
559,"seoul, south korea",seoul,korean,none,26,male,14,academic,philippines,0.3 years,korean11
560,"velky osek, czech republic",velky osek,czech,german,60,male,45,naturalistic,,0 years,czech2
561,"mostar, bosnia and herzegovina",mostar,croatian,italian spanish,35,female,10,academic,,0 years,croatian2
562,"lakselv, norway",lakselv,norwegian,none,23,male,10,academic,,0 years,norwegian4
563,"st. louis, missouri, usa",st. louis,english,french spanish italian,21,male,0,naturalistic,usa,21 years,english171
564,"kingston, jamaica",kingston,english,none,49,male,0,naturalistic,"jamaica, uk",49 years,english172
565,"cebu, philippines",cebu,cebuano,none,21,female,1,naturalistic,philippines,21 years,cebuano1
566,"stara zagora, bulgaria",stara zagora,bulgarian,spanish,18,male,13,academic,,0 years,bulgarian7
567,"libertyville, illinois, usa",libertyville,english,none,19,male,0,naturalistic,usa,19 years,english173
568,"kuching, sarawak, malaysia",kuching,english,malay chinese,30,female,0,naturalistic,"australia, singapore",12 years,english174
569,"guangdong province, guangdong, china",guangdong province,teochew,mandarin cantonese malay,59,female,8,academic,"england, malaysia",13 years,teochew1
570,"ioannina, greece",ioannina,greek,german,37,male,7,academic,,0 years,greek4
571,"bethel, alaska, usa",bethel,yupik,spanish,31,female,1,naturalistic,alaska,31 years,yupik1
572,"seattle, washington, usa",seattle,english,mandarin,24,male,0,naturalistic,usa,21 years,english175
573,"elizabeth city, north carolina, usa",elizabeth city,english,spanish french afrikaans,18,female,0,naturalistic,usa,18 years,english176
574,"new orleans, louisiana, usa",new orleans,english,none,23,female,0,naturalistic,usa,23 years,english177
575,"tegucigalpa, honduras",tegucigalpa,spanish,russian,50,female,17,academic,usa,13 years,spanish37
576,"tegucigalpa, honduras",tegucigalpa,spanish,portuguese,53,male,13,academic,usa,15 years,spanish38
577,"erigavo, somalia",erigavo,somali,arabic,59,male,8,academic,usa,22 years,somali2
578,"ankara, turkey",ankara,turkish,none,27,male,11,academic,,0 years,turkish10
579,"accra, ghana",accra,ga,twi,47,male,5,academic,usa,21 years,ga1
580,"masaka, uganda",masaka,ganda,none,52,female,15,academic,usa,29 years,ganda1
581,"bota, cameroon",bota,ngemba,french,41,male,15,academic,usa,3 years,ngemba1
582,"ghazi, pakistan",ghazi,hindko,urdu panjabi,62,male,6,academic,usa,36 years,hindko1
583,"wilkes-barre, pennsylvania, usa",wilkes-barre,english,none,30,male,0,naturalistic,usa,30 years,english178
584,"huron, south dakota, usa",huron,english,german russian,57,male,0,naturalistic,usa,55 years,english179
585,"newport, rhode island, usa",newport,english,none,20,male,0,naturalistic,usa,20 years,english180
586,"new eagle, pennsylvania, usa",new eagle,english,none,68,male,0,naturalistic,usa,68 years,english181
587,"hyderabad, india",hyderabad,hindi,french,31,male,3,academic,"usa, canada",8 years,hindi2
588,"asmara, eritrea",asmara,tigrigna,italian arabic amharic,52,female,14,academic,usa,30 years,tigrigna4
589,"bari, italy",bari,italian,french,43,male,10,academic,usa,0.1 years,italian8
590,"troy, new york, usa",troy,english,italian spanish,50,male,0,naturalistic,usa,50 years,english182
591,"tallinn, estonia",tallinn,estonian,finnish russian welsh,26,male,7,naturalistic,canada,1.1 years,estonian1
592,"trivandrum, kerala, india",trivandrum,malayalam,hindi tamil,29,female,5,academic,usa,4.5 years,malayalam2
593,"jalandhar, india",jalandhar,hindi,punjabi urdu,42,male,5,academic,usa,25 years,hindi3
594,"szeged, hungary",szeged,hungarian,german french spanish,26,male,5,academic,usa,6 years,hungarian4
595,"corriverton, guyana",corriverton,english,hindi,55,female,0,naturalistic,"guyana, usa",55 years,english183
596,"kaunas, lithuania",kaunas,lithuanian,russian,22,female,8,academic,usa,1.2 years,lithuanian3
597,"hillsboro, oregon, usa",hillsboro,english,spanish,18,female,0,naturalistic,usa,18 years,english184
598,"mataro, catalonia, spain",mataro,catalan,japanese,24,male,21,naturalistic,uk,3 years,catalan2
599,"bulawayo, zimbabwe",bulawayo,shona,ndebele,30,female,5,academic,"zimbabwe, usa",30 years,shona1
600,"borama, somalia",borama,somali,arabic,50,female,10,academic,usa,5 years,somali3
601,"tata, morocco",tata,amazigh,french arabic spanish,37,male,32,academic,usa,7 years,amazigh1
602,"macau, china",macau,cantonese,mandarin norwegian portuguese,20,female,4,academic,canada,2.3 years,cantonese12
603,"freetown, sierra leone",freetown,mende,none,21,female,2,naturalistic,"sierra leone, usa",21 years,mende2
604,"oxford, uk",oxford,english,spanish,38,male,0,naturalistic,canada,36 years,english185
605,"gadsden, alabama, usa",gadsden,english,none,39,female,0,naturalistic,usa,39 years,english186
606,"algona, iowa, usa",algona,english,none,42,female,0,naturalistic,usa,42 years,english187
607,"kao-hsiung, taiwan",kao-hsiung,mandarin,cantonese,53,female,13,academic,usa,33 years,mandarin11
608,"sokcho, south korea",sokcho,korean,none,31,male,31,academic,usa,1 years,korean12
609,"pskov, russia",pskov,russian,none,33,male,18,academic,usa,6 years,russian14
610,"ahmedabad, india",ahmedabad,gujarati,hindi,53,female,16,academic,usa,22 years,gujarati4
611,"edinburgh, scotland, uk",edinburgh,english,none,35,male,0,naturalistic,uk,35 years,english188
612,"bangkok, thailand",bangkok,thai,german chinese,25,male,10,academic,,0 years,thai5
613,,,,none,,,,,,years,
614,"pamplona, spain",pamplona,spanish,none,20,male,3,academic,,0 years,spanish39
615,"sao paulo, brazil",sao paulo,portuguese,spanish french italian,54,male,9,academic,usa,1.5 years,portuguese15
616,"wuppertal, germany",wuppertal,german,latin,22,male,8,academic,usa,0.2 years,german9
617,"grand forks, north dakota, usa",grand forks,english,none,19,male,0,naturalistic,usa,19 years,english189
618,"oak park, illinois, usa",oak park,english,spanish koine greek,27,male,0,naturalistic,usa,28 years,english190
619,"turin, italy",turin,italian,french,18,male,8,academic,usa,0.1 years,italian9
620,"goteborg, sweden",goteborg,swedish,german,26,male,7,academic,,0 years,swedish6
621,"nicosia, cyprus",nicosia,greek,none,51,male,25,academic,usa,29 years,greek5
622,"dhaka, bangladesh",dhaka,bengali,urdu hindi,40,female,5,academic,usa,15 years,bengali5
623,"singapore, singapore",singapore,mandarin,cantonese spanish french,23,male,1,naturalistic,"singapore, uk",23 years,mandarin12
624,"jamshedpur, jharkhand, india",jamshedpur,bengali,hindi,29,male,4,naturalistic,uk,2 years,bengali6
625,"khouribga, morocco",khouribga,arabic,french,43,male,18,academic,usa,8 years,arabic19
626,"torun, poland",torun,polish,french german,26,female,8,academic,usa,2 years,polish6
627,"palermo, italy",palermo,italian,spanish portuguese french,48,male,12,academic,usa,25 years,italian10
628,"bordeaux, france",bordeaux,french,spanish,19,male,12,academic,,0 years,french13
629,"paris, france",paris,french,german,23,female,14,academic,usa,1 years,french14
630,"sollentuna, sweden",sollentuna,swedish,mandarin,21,female,11,academic,"uk, canada",1 years,swedish7
631,"las cruces, new mexico, usa",las cruces,english,mandarin russian german,19,male,0,naturalistic,usa,19 years,english191
632,"porto alegre, brazil",porto alegre,portuguese,spanish french italian catalan,25,male,15,academic,scotland,2.5 years,portuguese16
633,"sens, france",sens,french,spanish,32,male,12,academic,,0 years,french15
634,"kocaeli, turkey",kocaeli,turkish,none,24,female,23,academic,usa,1 years,turkish11
635,"darmstadt, germany",darmstadt,german,french,24,male,10,academic,uk,0.1 years,german10
636,"east lansing, michigan, usa",east lansing,english,none,27,female,0,naturalistic,usa,27 years,english192
637,"honolulu, hawaii, usa",honolulu,english,none,32,male,0,naturalistic,usa,32 years,english193
638,"manchester, england, uk",manchester,english,none,19,male,0,naturalistic,uk,19 years,english194
639,"delavan, wisconsin, usa",delavan,english,french russian german norwegian,21,female,0,naturalistic,usa,21 years,english195
640,"frankfurt, germany",frankfurt,german,spanish latin french,20,female,11,academic,,0 years,german11
641,"cagliari, italy",cagliari,italian,spanish,30,male,18,academic,uk,0.25 years,italian11
642,"kabul, afghanistan",kabul,dari,pashto,55,male,12,academic,usa,35 years,dari2
643,"chtaura, beqa valley, lebanon",chtaura,arabic,french german,36,male,12,academic,usa,1 years,arabic20
644,"cartago, costa rica",cartago,spanish,italian,20,male,6,academic,,0 years,spanish40
645,"slovenj gradec, slovenia",slovenj gradec,slovenian,german italian croatian,25,female,6,academic,usa,1.5 years,slovenian1
646,"tashkent, uzbekistan",tashkent,uzbek,russian,40,male,8,academic,usa,8 years,uzbek3
647,"ayaguz, kazakhstan",ayaguz,russian,belarusan,34,female,12,academic,"canada, usa",6 years,russian15
648,"minsk, belarus",minsk,russian,belarusan polish french german,35,male,11,academic,"uk, usa",6 years,russian16
649,"kyiv, ukraine",kyiv,ukrainian,russian italian,26,male,17,academic,usa,0.2 years,ukrainian1
650,"minsk, belarus",minsk,belarusan,russian polish,43,female,12,academic,usa,5 years,belarusan2
651,"feldkirch, austria",feldkirch,german,french,29,female,14,academic,usa,5 years,german12
652,"eschen, liechtenstein",eschen,german,french spanish italian,54,female,13,academic,"usa, australia, south africa",19 years,german13
653,"nachod, czech republic",nachod,czech,german,35,male,14,academic,usa,5.75 years,czech3
654,"suva, fiji",suva,english,fijian hindi french,50,female,0,naturalistic,"fiji, usa",50 years,english196
655,"savusavu, vanua levu, fiji",savusavu,fijian,rotuman,35,male,5,naturalistic,"fiji, usa",35 years,fijian1
656,"suva, fiji",suva,fijian,none,39,female,6,academic,"fiji, usa",39 years,fijian2
657,"suva, fiji",suva,fijian,none,48,female,6,academic,"fiji, usa, new zealand",48 years,fijian3
658,"montreal, quebec, canada",montreal,french,spanish,19,female,7,academic,canada,19 years,french16
659,"vatukoula, fiji",vatukoula,rotuman,fijian maori,43,female,5,academicnaturalistic,"new zealand, fiji,  usa",43 years,rotuman1
660,"rotuma, rotuma, fiji",rotuma,rotuman,fijian maori,52,male,7,academic,"new zealand, fiji, usa",52 years,rotuman2
661,"split, croatia",split,croatian,italian,44,female,10,academic,"new zealand, usa",0 years,croatian3
662,"iowa city, iowa, usa",iowa city,english,none,22,male,0,naturalistic,usa,22 years,english197
663,"washington, district of columbia, usa",washington,english,none,56,male,0,naturalistic,usa,56 years,english198
664,"bay shore, new york, usa",bay shore,english,none,25,male,0,naturalistic,usa,25 years,english199
665,"akranes, iceland",akranes,icelandic,danish german french latin,43,female,12,academic,usa,5 years,icelandic2
666,,,,none,,,,,,years,
667,"berkeley, california, usa",berkeley,english,spanish,22,female,0,naturalistic,usa,22 years,english200
668,"warren, michigan, usa",warren,english,polish,26,female,0,naturalistic,usa,26 years,english201
669,"hawler, kurdistan, iraq",hawler,kurdish,farsi arabic,50,male,10,academic,usa,20 years,kurdish2
670,"beirut, lebanon",beirut,arabic,french,46,female,30,naturalistic,usa,13 years,arabic21
671,"pskov, russia",pskov,russian,spanish portuguese,37,male,18,academic,usa,2 years,russian17
672,"giresun, turkey",giresun,turkish,german,25,male,20,academic,usa,0.5 years,turkish12
673,"crisfield, maryland, usa",crisfield,english,esperanto,19,male,0,naturalistic,usa,19 years,english202
674,"boston, massachusetts, usa",boston,english,german french,63,female,0,naturalistic,usa,31 years,english203
675,"vienna, austria",vienna,german,spanish,30,female,10,academic,usa,0.25 years,german14
676,"innsbruck, austria",innsbruck,german,french farsi,35,male,11,academic,usa,8 years,german15
677,"tarlac city, philippines",tarlac city,tagalog,ilocano,42,female,5,naturalistic,"philippines, usa, australia",42 years,tagalog5
678,"chicago, illinois, usa",chicago,english,french german,53,male,0,naturalistic,usa,49 years,english204
679,"blue earth, minnesota, usa",blue earth,english,none,45,female,0,naturalistic,usa,45 years,english205
680,"hucknall, nottinghamshire, england, uk",hucknall,english,slovenian,35,female,0,naturalistic,uk,35 years,english206
681,"bellinzona, switzerland",bellinzona,italian,french portuguese swiss german,38,female,14,academic,"zimbabwe, usa",6.5 years,italian12
682,"winterthur, switzerland",winterthur,swiss german,french spanish,42,female,14,academic,"south africa, usa",6.5 years,swiss german2
683,"fribourg, switzerland",fribourg,french,german,39,male,14,academic,usa,5 years,french17
684,"wilkes-barre, pennsylvania, usa",wilkes-barre,english,spanish,23,female,0,naturalistic,usa,23 years,english207
685,"nantou, taiwan",nantou,mandarin,taiwanese,29,male,13,academic,,0 years,mandarin13
686,"istanbul, turkey",istanbul,turkish,german,18,female,3,naturalistic,usa,15 years,turkish13
687,"erding, bavaria, germany",erding,bavarian,italian french,54,female,10,academic,"usa, uk",17 years,bavarian1
688,"bucharest, romania",bucharest,romanian,french german,47,female,12,academic,usa,4 years,romanian5
689,"bucharest, romania",bucharest,romanian,french,35,male,12,academic,usa,1 years,romanian6
690,"bucharest, romania",bucharest,romanian,french spanish italian,47,male,12,academic,usa,6 years,romanian8
691,"bacau, romania",bacau,romanian,french italian,28,female,10,academic,usa,2.5 years,romanian9
692,"bucharest, romania",bucharest,romanian,french italian,27,female,11,academic,usa,2 years,romanian10
693,"buzau, romania",buzau,romanian,french,39,male,14,academic,usa,1.5 years,romanian11
694,"bucharest, romania",bucharest,romanian,french,33,male,11,academic,usa,4 years,romanian7
695,"washington, dc, usa",washington,english,none,46,male,0,naturalistic,usa,29 years,english208
696,"kabul, kandahar, afghanistan",kabul,pashto,dari farsi turkish,47,female,12,academic,usa,28 years,pashto1
697,"oslo, norway",oslo,norwegian,german spanish,41,female,9,academic,usa,0.5 years,norwegian5
698,"sukhothai, thailand",sukhothai,thai,mandarin,27,male,11,academic,usa,1 years,thai6
699,"helsinki, finland",helsinki,finnish,swedish german spanish french italian,20,female,7,academic,usa,0.2 years,finnish3
700,"helsinki, finland",helsinki,finnish,swedish german italian,30,female,9,academic,"uk, usa",3 years,finnish4
701,"helsinki, finland",helsinki,swedish,finnish french,22,female,10,academic,usa,0.1 years,swedish8
702,"saint johns, antigua and barbuda",saint johns,english,antigua and barbuda creole english french,28,female,0,naturalistic,"antigua and barbuda, usa",28 years,english209
703,"maseru, lesotho",maseru,sesotho,none,52,female,6,academic,"lesotho, usa",49 years,sesotho1
704,"velika plana, serbia",velika plana,serbian,french,27,male,15,academic,,0 years,serbian4
705,"trenton, nova scotia, canada",trenton,english,french,23,female,0,naturalistic,canada,23 years,english210
706,"bonao, dominican republic",bonao,spanish,none,25,male,6,naturalistic,usa,23 years,spanish41
707,"kathmandu, nepal",kathmandu,newari,hindi,29,male,5,naturalistic,usa,5.5 years,newari1
708,"chittagong, bangladesh",chittagong,chittagonian,bengali hindi french arabic polish,39,male,12,academic,usa,9 years,chittagonian1
709,"noakhali, bangladesh",noakhali,bengali,urdu hindi,54,male,5,academic,usa,9 years,bengali8
710,"mymensingh, bangladesh",mymensingh,bengali,hindi urdu,49,male,6,academic,usa,5.5 years,bengali7
711,"sylhet, bangladesh",sylhet,sylheti,bengali,54,male,17,academic,usa,20 years,sylheti1
712,"bogota, colombia",bogota,spanish,none,80,female,18,academic,usa,20 years,spanish42
713,"tbilisi, republic of georgia",tbilisi,georgian,russian,29,male,6,academic,usa,3 years,georgian3
714,"santiago-dr, dominican republic",santiago-dr,spanish,none,43,male,16,academic,usa,22 years,spanish43
715,"santiago-dr, dominican republic",santiago-dr,spanish,none,47,female,12,academic,usa,2 years,spanish45
716,"la romana, dominican republic",la romana,spanish,none,37,female,4,academic,usa,11.5 years,spanish44
717,"santo domingo, dominican republic",santo domingo,spanish,french,33,male,14,academic,usa,10 years,spanish46
718,"santo domingo, dominican republic",santo domingo,spanish,french,25,female,12,academic,usa,2.5 years,spanish47
719,"dalian, liaoning, china",dalian,mandarin,none,49,male,20,academic,usa,21 years,mandarin14
720,"worcester, massachusetts, usa",worcester,english,none,30,male,0,naturalistic,usa,30 years,english211
721,"tbilisi, republic of georgia",tbilisi,georgian,russian,28,male,12,academic,usa,3 years,georgian4
722,"belgrade, serbia",belgrade,serbian,russian,35,male,6,academic,usa,1.8 years,serbian5
723,"kraljevo, serbia",kraljevo,serbian,spanish german,33,male,12,academic,usa,2 years,serbian6
724,"belgrade, serbia",belgrade,serbian,german,31,female,7,academic,usa,2 years,serbian7
725,"kragujevac, serbia",kragujevac,serbian,spanish french arabic turkish,31,female,9,academic,usa,3.5 years,serbian9
726,"kraljevo, serbia",kraljevo,serbian,russian,44,male,20,academic,usa,0.75 years,serbian8
727,"belgrade, serbia",belgrade,serbian,french italian,25,male,7,naturalistic,"australia, usa",1.5 years,serbian10
728,"przemet, poland",przemet,polish,german,20,male,6,academic,,0 years,polish7
729,"spartanburg, south carolina, usa",spartanburg,english,none,24,male,0,naturalistic,usa,24 years,english212
730,"hong kong, china",hong kong,cantonese,mandarin,21,female,3,academic,,0 years,cantonese13
731,"bilbao, spain",bilbao,spanish,none,21,male,6,academic,,0 years,spanish48
732,"tandil, argentina",tandil,spanish,japanese,31,male,6,academic,,0 years,spanish49
733,"enna, italy",enna,italian,sicilian,20,male,8,academic,,0 years,italian13
734,"dodge city, kansas, usa",dodge city,english,none,38,male,0,naturalistic,usa,38 years,english213
735,"istanbul, turkey",istanbul,turkish,french,23,female,6,academic,usa,0.5 years,turkish14
736,"ankara, turkey",ankara,turkish,none,18,male,10,academic,usa,0.75 years,turkish15
737,"myrtle beach, south carolina, usa",myrtle beach,english,spanish,26,male,0,naturalistic,usa,26 years,english214
738,"lemington spa, warwickshire, uk",lemington spa,english,spanish italian yiddish,20,male,0,naturalistic,"uk, ireland, usa",20 years,english215
739,"chicago, illinois, usa",chicago,english,spanish,48,female,0,naturalistic,usa,48 years,english216
740,"harrow, middlesex, uk",harrow,english,french german spanish italian japanese,66,male,0,naturalistic,"uk, usa",66 years,english217
741,"washington, dc, usa",washington,french,spanish chinese arabic,22,male,6,academic,uk,0.3 years,french18
742,"hong kong, china",hong kong,cantonese,mandarin,19,female,3,academic,uk,0.5 years,cantonese14
743,"bilzen, flanders, belgium",bilzen,dutch,french,18,male,10,academic,,0 years,dutch4
744,"belgrade, serbia",belgrade,serbian,none,26,male,14,naturalistic,canada,12 years,serbian11
745,"kars, turkey",kars,turkish,german,25,male,12,academic,uk,0.75 years,turkish16
746,"tainan, taiwan",tainan,mandarin,french swedish japanese,28,female,11,academic,"new zealand, usa, uk",4 years,mandarin15
747,"abingdon, virginia, usa",abingdon,english,latin spanish,27,female,0,naturalistic,usa,27 years,english218
748,"oakland, california, usa",oakland,english,spanish,38,female,0,naturalistic,usa,38 years,english219
749,"anaheim, california, usa",anaheim,english,none,18,female,0,naturalistic,usa,18 years,english220
750,"taipei, taiwan",taipei,mandarin,taiwanese japanese,32,male,10,academic,usa,1.35 years,mandarin16
751,"moga, punjab, india",moga,punjabi,hindi,19,male,6,naturalistic,usa,2 years,punjabi3
752,"santo domingo, dominican republic",santo domingo,spanish,none,27,male,15,academic,usa,0.25 years,spanish50
753,"caguas, puerto rico",caguas,spanish,none,20,male,6,academic,usa,20 years,spanish51
754,"london, uk",london,english,yoruba,45,male,0,naturalistic,"uk, australia, usa",45 years,english221
755,"grenoble, france",grenoble,french,german spanish,39,male,12,academic,"canada, usa",12 years,french19
756,"ibadan, oyo, nigeria",ibadan,yoruba,french portuguese italian,40,female,2,academic,"usa, uk",8.5 years,yoruba2
757,"kathmandu, nepal",kathmandu,nepali,hindi tibetan sherpa,37,female,14,academic,usa,4 years,nepali2
758,"yangon, myanmar",yangon,burmese,none,35,female,11,academic,usa,1.5 years,burmese1
759,"pusan, south korea",pusan,korean,none,50,female,12,academic,usa,19 years,korean13
760,"kafanchan, nigeria",kafanchan,igbo,none,65,male,14,academic,uk,7 years,igbo2
761,"cosenza, italy",cosenza,italian,french,20,male,8,academic,uk,0.1 years,italian14
762,"ulaanbaatar, mongolia",ulaanbaatar,mongolian,russian turkish,38,male,10,academic,usa,0.66 years,mongolian3
763,"ankara, turkey",ankara,turkish,none,31,male,6,academic,usa,10 years,turkish17
764,"auburn, indiana, usa",auburn,english,none,18,female,0,naturalistic,usa,18 years,english222
765,"bhilwara, rajisthan, india",bhilwara,hindi,rajasthani gujarati punjabi tamil telugu,28,female,14,academic,usa,2 years,hindi4
766,"lagos, nigeria",lagos,yoruba,none,46,female,5,academic,usa,34 years,yoruba3
767,"erie, pennsylvania, usa",erie,english,none,18,male,0,naturalistic,usa,18 years,english223
768,"bridgetown, barbados",bridgetown,english,spanish french,20,male,0,naturalistic,barbados,20 years,english224
